Ano,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
1993,19.2523093011,33.7226586042,11.3849697848,12.6949155646,30.5429428501,32.663930688600004,8.114117875,13.905193696700001,15.516857299000002,36.9774922975,14.827997303699998,13.8528156953,15.8920879786,13.8036386201,32.3634873078,29.099919245,37.4958129187,12.5242392843,7.7605801991,29.8678114698,11.6406609018,8.9676441944,8.3231342621,7.993831386699999,28.636115674299997,8.1238752611,26.476866391999998
1995,15.808211903299998,34.922072196900004,10.2106772451,10.7216248755,28.4686465192,31.5902199385,6.496810534600001,14.1281337228,15.128114036700001,31.953260588000003,14.097293338499998,13.3557275077,15.357736861600001,12.8306104882,32.3042717155,29.772609564899998,35.3356572055,11.5543681455,6.8323800596,29.5799505175,9.1437592086,9.1682199441,7.8385742415,7.4330564931,26.2108264951,7.6872462985,24.4209152317
1996,17.9861178403,36.1440059101,9.3861816246,12.9025369437,24.607449536300003,31.153090754,6.2810067269,14.088257501300001,13.276239416300001,33.397031776999995,12.845548828900002,12.4081771495,11.894183748800002,12.4881939791,31.321935360799998,26.211834500300004,34.4611667976,11.629681317100001,6.3443360793,28.4977006075,7.6051136364,6.9391373730999995,7.20931422,7.3204779759,25.2705066045,7.3537563319000006,20.884051144100003
1997,18.4954264906,36.3673980393,9.504074428400001,11.6811210517,27.013082708200002,30.9406357837,6.0118904302,13.799725553599998,14.236202498499999,35.9661829685,13.155828878,12.120872954500001,14.3667382952,13.119366539300001,29.8116662577,26.442067869200002,33.004486308000004,10.611938383,6.5596762454999995,27.204108689,10.2021536059,11.8592616919,7.0253600749,6.6204592344,25.3572648679,6.795782439,23.7212044867
1998,14.4940798048,34.7657230405,8.4499361059,9.128554062100001,24.945685748600003,29.676498337199998,5.5625634851,12.0466639706,13.057629824400001,29.690107973000003,12.617941019100002,11.8738256778,11.175531015299999,13.704283721700001,28.6677911194,24.426982098899998,34.4931911862,10.4471970065,5.9321863339,26.6808465298,7.5838215754,8.2693165485,6.8156606402,6.4364782226,24.0742983289,6.574873369700001,22.014915846599997
1999,15.6488025801,32.7313378965,8.7517791313,9.5588979455,24.5737291146,28.0448162546,5.0259154058,11.1311225361,12.5385341266,28.952438784,12.1677918925,11.011009736400002,11.798301698900001,12.4828995376,25.9786856281,24.834908894699996,31.6211116713,10.192804073,6.017533031599999,25.519635439899996,9.6860151316,8.728198218400001,6.059260986799999,6.8268820413,23.9427504331,6.1728338488,21.1368071194
2001,16.727217798199998,30.5973083213,7.7422146513,7.159616089299999,22.6960738898,24.603259040700003,5.529614864299999,11.4534096815,11.6691455703,23.395728307800002,11.6838535826,10.2507679806,11.1924814939,11.0128534598,27.1744597254,22.003269293899997,29.421652993800002,8.631336137,5.6397685441,24.184897111399998,10.1902790856,11.4805627201,6.2390749132000005,5.9350038329,21.427991937999998,5.9821659888,18.4896112687
2002,12.976261127599999,31.1842843685,6.3298144935,6.1531907023,21.5731906708,22.460248740100003,5.669911749700001,10.7027037336,11.2857822458,22.8977286167,11.0636370801,8.9877531995,10.2046086375,10.5513956438,27.106883655100003,21.5836133475,29.5891972574,7.8853073703,5.146399711,22.683337702600003,8.6239826839,12.052052955499999,6.3023246012000005,5.502941021,20.2471672213,5.8598899853,18.1177784616
2003,16.863655023499998,30.4093818506,6.6086843667999995,9.2114888657,21.202626771400002,22.573862182600003,4.4472575439,10.264118123,10.8941901226,23.775055873000003,11.0580297985,9.6015289082,10.7004082202,10.497426499,25.2114908666,21.835312807199998,28.399978263,7.81514425,4.6660959157,23.398374352399998,8.552735356900001,9.6682321024,5.7658942079,4.9992093296,19.1533840068,5.4104019739,17.622490258499997
2004,18.0812602008,29.5116912332,8.993323784700001,8.4770154327,20.3117361041,21.6304144021,4.1986807204000005,9.4904369388,10.6917416367,23.1030254445,9.906092215800001,9.524195969400001,10.0978306019,14.523531390699999,25.315584595,21.399444124400002,27.294735095700002,7.9850575067,4.8652321266000005,22.2869396866,10.5253100528,10.6979602355,5.486765625199999,4.7936561726999996,19.3786337366,5.5194325834,17.2393410633
2005,21.046923959100003,29.268524347800003,6.6861385162,7.4329088722000005,18.6731423975,22.440295587399998,4.6634385367,8.688691499900001,10.2192746234,22.9972295138,10.0900956615,9.0610952392,9.7447391739,13.318753033399998,25.206844951500003,20.6205475475,27.3742098727,7.1233563983,4.877881232,21.4681489533,9.9118562772,12.5303039779,5.2161054025,5.1666327083,19.6732897848,5.4086223892,16.3019989941
2006,17.491622500000002,26.4370664139,7.832130675499999,5.3370056262,18.470787111099998,20.4899134513,3.7656809353,9.4929263115,9.6024533505,22.793286750700002,9.0805171668,8.4599958975,9.2306234548,13.219074089300001,22.7340174602,18.641277973399998,26.2267650581,6.5604863422,4.2499564,21.8138214974,10.6392308898,8.813377789,5.2288382538,5.0583880489999995,18.2194959416,4.9784106169,14.9270196143
2007,15.693886226199998,25.1426540583,7.9404806787,7.1703330019000004,18.340906661800002,19.0161816654,3.7268854592,8.5115487322,8.8004655965,21.4489421879,8.932723965900001,8.337146244500001,10.060319125800001,12.5912107368,23.4608147176,18.6465344791,23.4307372071,6.5962896852999995,4.391310362,19.5646783497,9.4969870576,11.001148990399999,4.9890078381,4.4073946656,16.7681874078,4.6077501993,14.2074109802
2008,14.8840668813,25.740950234,8.8127607726,4.6666906873,17.3399643246,18.922483452,4.0180799807,8.814451561,9.3076662805,19.4597624302,8.6778573262,8.1234808027,9.5516227714,12.4089434691,23.4953036629,17.9841483382,24.3291194215,6.580464371000001,4.4412791514,19.9926468959,9.1904673654,9.685378144400001,4.9673876052,4.4116739116,16.8746384651,4.7445863843,14.380683906300002
2009,16.3539712977,24.5671180313,7.3123490471000006,3.2610772735,16.7674852466,18.4122778934,3.4469684581999998,8.5288241166,8.6056306553,19.080851183900002,8.5646451574,8.6953977028,10.1520384247,12.731651046500001,21.621797771100002,17.7588957875,23.351073235599998,6.7045614789,3.9684321936,18.1356685848,9.811070241,7.755963005,4.597347883299999,4.9120921982,16.2913581207,4.7493365928,13.5418477555
2011,14.382577103800001,21.783119169000003,8.353063884600001,7.598437403099999,14.4523561873,16.4902472241,3.1467668314,6.3770924519,7.1805308476,21.6385508483,7.8774869148,6.3650456445,7.3944400345000005,10.6071611434,17.2349726408,15.7402049073,19.3087231047,6.2744441935,3.672093958,15.8440182253,9.736120616900001,9.6231294247,4.268294765199999,3.8780327864,15.9815204074,3.6668445789999997,12.165590099400001
2012,13.461715778599999,21.834940379899997,8.269417231,6.7230251685,15.8936856921,16.2743374901,3.4858998511,6.7340577347,7.292909975900001,20.836678539,7.36296535,6.9931298913,8.0528396345,10.507332483999999,18.5896933728,16.7370079341,18.8346959581,5.2673350673,3.7896645987,16.0416069128,8.572058609299999,7.3914017352,4.2568471461,3.1504909494,16.3079905677,3.8068037648,13.403468253900002
2013,14.606067086500001,21.647721109099997,7.3377616869,5.9667458249,14.913226259000002,16.7229800044,3.1865021611,6.5925705752,7.0559835547,19.8499206838,7.601261321900001,7.1711971998,7.8345120364,10.0528951408,18.2066595423,15.2664931207,19.7218238884,5.3301686699,3.7361420431,17.1661370476,8.5580274208,9.8064297991,4.4251165611,3.5238056615,16.9296586417,3.7101335291,12.2446525843
2014,13.0790724854,21.971092500900003,6.204441363300001,4.2157366981,14.7403480391,16.2849873516,2.7285441739999996,6.5492330445,7.682398643099999,19.6079959945,7.0612717771,6.4538117974,7.3042198559000004,9.9680406365,16.9071389531,14.7607354339,20.2126832918,4.9547870243,3.2069499509,16.2090076735,8.335294747,7.468175780399999,4.4663589774,3.3408067858,17.145655640799998,3.7594587201,12.1512941479
