Time[s],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],COPx[cm],COPy[cm]
0.27,-0.971042,-4.099706,535.496505,3.560968,38.436548,-0.711877,-7.17774,0.664984
0.28,-1.033438,-4.108985,535.554208,3.565979,38.473106,-0.705589,-7.183793,0.665848
0.29,-1.101886,-4.11153,535.587142,3.564305,38.505668,-0.699633,-7.189431,0.665495
0.3,-1.171079,-4.107578,535.599222,3.55861,38.53367,-0.694008,-7.194497,0.664417
0.31,-1.234944,-4.098229,535.601392,3.552373,38.557148,-0.688485,-7.198851,0.663249
0.32,-1.287033,-4.085086,535.607761,3.548538,38.575812,-0.682739,-7.20225,0.662526
0.33,-1.321155,-4.069945,535.629989,3.54867,38.588305,-0.676637,-7.204284,0.662523
0.34,-1.332496,-4.054635,535.671399,3.552948,38.592164,-0.670523,-7.204447,0.66327
0.35,-1.318914,-4.040996,535.722785,3.560678,38.584608,-0.665303,-7.202346,0.664649
0.36,-1.281751,-4.030834,535.76245,3.57078,38.563783,-0.662206,-7.197926,0.666486
0.37,-1.22581,-4.025595,535.76218,3.581962,38.529798,-0.662334,-7.191586,0.668573
0.38,-1.158632,-4.025738,535.697835,3.592661,38.485024,-0.666235,-7.184092,0.670651
0.39,-1.089388,-4.030308,535.559911,3.601079,38.433613,-0.673669,-7.176343,0.672395
0.4,-1.02755,-4.037424,535.358653,3.605566,38.380584,-0.683682,-7.169135,0.673486
0.41,-0.981531,-4.0456,535.121243,3.605273,38.330897,-0.694894,-7.16303,0.67373
0.42,-0.95748,-4.054751,534.883308,3.600721,38.288796,-0.705871,-7.158346,0.673179
0.43,-0.958255,-4.065665,534.679729,3.593838,38.257471,-0.715406,-7.155212,0.672148
0.44,-0.982472,-4.078106,534.538553,3.587324,38.238969,-0.722645,-7.153641,0.671107
0.45,-1.02395,-4.089133,534.47855,3.583597,38.234205,-0.727118,-7.153553,0.670485
0.46,-1.072288,-4.09334,534.508679,3.583816,38.242832,-0.728762,-7.154764,0.670488
0.47,-1.115152,-4.085335,534.627535,3.587436,38.262953,-0.727983,-7.156936,0.671016
0.48,-1.141837,-4.063005,534.822315,3.592495,38.290926,-0.725687,-7.15956,0.671718
0.49,-1.146617,-4.029506,535.068549,3.59649,38.321648,-0.723124,-7.162007,0.672155
0.5,-1.130243,-3.992704,535.332217,3.597415,38.349404,-0.721497,-7.163664,0.671997
0.51,-1.098868,-3.962448,535.574647,3.594579,38.369051,-0.721452,-7.16409,0.671163
0.52,-1.06105,-3.947252,535.758976,3.588912,38.377089,-0.722721,-7.163126,0.669874
0.53,-1.024332,-3.951897,535.856915,3.582662,38.372242,-0.724188,-7.160912,0.668586
0.54,-0.992837,-3.976463,535.855385,3.578587,38.355372,-0.724408,-7.157784,0.667827
0.55,-0.966662,-4.016584,535.761769,3.578933,38.328862,-0.722319,-7.154087,0.668008
0.56,-0.943034,-4.064666,535.604492,3.58461,38.295815,-0.717776,-7.150018,0.669264
0.57,-0.918527,-4.111946,535.426454,3.594867,38.259428,-0.711658,-7.145599,0.671403
0.58,-0.891302,-4.150884,535.273419,3.607587,38.222642,-0.705514,-7.14077,0.673971
0.59,-0.862333,-4.176982,535.182764,3.620076,38.188024,-0.700905,-7.135511,0.676419
0.6,-0.834919,-4.189278,535.176121,3.629923,38.157738,-0.698768,-7.12994,0.678267
0.61,-0.812566,-4.189611,535.255705,3.635504,38.133556,-0.699105,-7.124362,0.679209
0.62,-0.796451,-4.181349,535.40349,3.636004,38.116861,-0.701144,-7.119278,0.679115
0.63,-0.784321,-4.168295,535.584553,3.63122,38.108538,-0.703831,-7.115317,0.677992
0.64,-0.771835,-4.154111,535.756015,3.621476,38.108706,-0.706377,-7.113071,0.675956
0.65,-0.755619,-4.142131,535.879287,3.607714,38.116469,-0.708547,-7.112883,0.673233
0.66,-0.735985,-4.135226,535.930011,3.591556,38.129905,-0.710597,-7.114717,0.670154
0.67,-0.717634,-4.135338,535.901466,3.575075,38.146458,-0.712991,-7.118185,0.667114
0.68,-0.708061,-4.142704,535.801678,3.560243,38.16366,-0.716114,-7.122721,0.66447
0.69,-0.714668,-4.15533,535.647684,3.548277,38.179955,-0.720134,-7.127811,0.662427
0.7,-0.742056,-4.169392,535.460311,3.539248,38.195298,-0.725035,-7.133171,0.660973
0.71,-0.79059,-4.18056,535.261256,3.532148,38.211228,-0.730737,-7.138799,0.659892
0.72,-0.856534,-4.185519,535.072266,3.525382,38.230293,-0.737166,-7.144884,0.658861
0.73,-0.933192,-4.182882,534.914446,3.517441,38.255006,-0.74422,-7.151612,0.657571
0.74,-1.012206,-4.173272,534.805772,3.507483,38.286748,-0.751622,-7.159001,0.655842
0.75,-1.084579,-4.158961,534.757282,3.495581,38.325127,-0.758819,-7.166826,0.653676
0.76,-1.141724,-4.143536,534.770566,3.482538,38.368068,-0.765052,-7.174678,0.651221
0.77,-1.177068,-4.131585,534.838453,3.46939,38.412513,-0.769611,-7.182078,0.64868
0.78,-1.188095,-4.128025,534.948192,3.45698,38.455284,-0.772132,-7.1886,0.646227
0.79,-1.177791,-4.136809,535.084752,3.445867,38.493772,-0.77273,-7.193958,0.643985
0.8,-1.154278,-4.159315,535.232239,3.436546,38.526362,-0.771906,-7.198065,0.642066
0.81,-1.128369,-4.193229,535.373333,3.42973,38.55266,-0.770294,-7.20108,0.640624
0.82,-1.110035,-4.23275,535.488964,3.426429,38.573527,-0.768425,-7.203421,0.639869
0.83,-1.105415,-4.27032,535.560922,3.427662,38.590879,-0.766635,-7.205694,0.640013
0.84,-1.115649,-4.299128,535.577374,3.433856,38.60721,-0.765098,-7.208521,0.64115
0.85,-1.137812,-4.315115,535.538096,3.444191,38.62492,-0.763849,-7.212357,0.643127
0.86,-1.16717,-4.317599,535.455937,3.456246,38.645645,-0.762746,-7.217334,0.645477
0.87,-1.199427,-4.308589,535.353309,3.466311,38.669829,-0.761433,-7.223235,0.647481
0.88,-1.231985,-4.291616,535.254972,3.470466,38.696759,-0.759435,-7.229594,0.648376
0.89,-1.263953,-4.270866,535.179988,3.466086,38.725013,-0.756419,-7.235886,0.647649
0.9,-1.295347,-4.250674,535.136222,3.453071,38.753163,-0.75248,-7.241738,0.64527
0.91,-1.326131,-4.234929,535.11964,3.43413,38.78046,-0.748267,-7.247064,0.64175
0.92,-1.355691,-4.226158,535.118328,3.413932,38.807199,-0.744792,-7.252078,0.637977
0.93,-1.382913,-4.22469,535.119002,3.397489,38.834494,-0.742987,-7.25717,0.634903
0.94,-1.406637,-4.228712,535.113008,3.388392,38.863553,-0.743193,-7.262681,0.633211
0.95,-1.426104,-4.235456,535.099561,3.387558,38.894861,-0.74485,-7.268715,0.633071
0.96,-1.44113,-4.242833,535.08559,3.393032,38.92777,-0.74655,-7.275055,0.63411
0.97,-1.451985,-4.250314,535.082778,3.400956,38.960738,-0.746503,-7.281254,0.635594
0.98,-1.459108,-4.258454,535.102808,3.407243,38.992021,-0.743264,-7.286828,0.636745
0.99,-1.462854,-4.267683,535.151966,3.409138,39.020356,-0.736391,-7.291453,0.637041
1,-1.463484,-4.277631,535.227023,3.406057,39.045283,-0.726714,-7.295088,0.636376
1.01,-1.461464,-4.287585,535.31499,3.39948,39.067062,-0.716078,-7.297958,0.635043
1.02,-1.45776,-4.297316,535.397759,3.392116,39.086363,-0.706678,-7.300435,0.633569
1.03,-1.45364,-4.307124,535.459352,3.386696,39.103903,-0.700301,-7.30287,0.632484
1.04,-1.449873,-4.316878,535.491797,3.384895,39.120158,-0.697747,-7.305464,0.63211
1.05,-1.445835,-4.325049,535.49693,3.386788,39.135219,-0.69862,-7.308206,0.632457
1.06,-1.439365,-4.328906,535.483959,3.390986,39.148815,-0.70152,-7.310922,0.633256
1.07,-1.42783,-4.326062,535.46468,3.395333,39.160546,-0.704571,-7.313376,0.634091
1.08,-1.410081,-4.316339,535.449382,3.39783,39.170314,-0.70606,-7.315409,0.634575
1.09,-1.388186,-4.30252,535.445776,3.397443,39.178766,-0.704916,-7.317037,0.634507
1.1,-1.367672,-4.289267,535.460543,3.394451,39.187418,-0.700891,-7.318451,0.633931
1.11,-1.355702,-4.280806,535.500529,3.390181,39.198271,-0.694431,-7.319931,0.633086
1.12,-1.357845,-4.278825,535.570921,3.386261,39.212968,-0.686435,-7.321714,0.632271
1.13,-1.375064,-4.281881,535.670413,3.383841,39.231875,-0.677974,-7.323883,0.631702
1.14,-1.402585,-4.286546,535.786315,3.383132,39.253508,-0.670006,-7.326336,0.631433
1.15,-1.431259,-4.289466,535.893598,3.383413,39.274634,-0.663112,-7.328812,0.631359
1.16,-1.450748,-4.289059,535.960199,3.383321,39.291063,-0.657346,-7.330967,0.631264
1.17,-1.453084,-4.285883,535.95723,3.381307,39.298889,-0.652319,-7.332467,0.630891
1.18,-1.435179,-4.281621,535.869281,3.376164,39.295733,-0.647505,-7.333082,0.630035
1.19,-1.399461,-4.277421,535.699133,3.367609,39.281476,-0.642623,-7.33275,0.628638
1.2,-1.352708,-4.272625,535.464388,3.356705,39.258172,-0.63791,-7.331612,0.626877
1.21,-1.303789,-4.264695,535.189212,3.345817,39.229251,-0.634136,-7.329978,0.625165
1.22,-1.261265,-4.250463,534.897876,3.337851,39.198476,-0.632313,-7.328217,0.624016
1.23,-1.231407,-4.228045,534.614542,3.335002,39.169196,-0.633219,-7.326624,0.623814
1.24,-1.216866,-4.198433,534.367298,3.337654,39.144155,-0.63697,-7.325328,0.624599
1.25,-1.216137,-4.166015,534.190065,3.344055,39.125707,-0.64287,-7.324305,0.626005
1.26,-1.224001,-4.137817,534.11774,3.351022,39.116003,-0.649646,-7.323479,0.627394
1.27,-1.232974,-4.121573,534.175708,3.355361,39.116827,-0.655922,-7.322839,0.628138
1.28,-1.235442,-4.122964,534.369024,3.355337,39.129086,-0.660731,-7.322484,0.627906
1.29,-1.226005,-4.142977,534.676568,3.351513,39.152175,-0.66383,-7.32259,0.62683
1.3,-1.203307,-4.176838,535.052694,3.346576,39.183543,-0.665752,-7.323305,0.625467
1.31,-1.170634,-4.215574,535.435958,3.344202,39.218738,-0.667598,-7.324637,0.624576
1.32,-1.134975,-4.249756,535.762368,3.347484,39.252091,-0.670625,-7.326399,0.624808
1.33,-1.104921,-4.273314,535.979675,3.357603,39.277948,-0.675769,-7.328253,0.626442
1.34,-1.088049,-4.285192,536.059236,3.373337,39.292224,-0.68328,-7.329829,0.629284
1.35,-1.088483,-4.288093,536.002615,3.391536,39.293869,-0.692591,-7.33091,0.632746
1.36,-1.105461,-4.285613,535.84102,3.408214,39.285699,-0.702463,-7.331596,0.636049
1.37,-1.133588,-4.279795,535.627135,3.419742,39.274057,-0.711306,-7.33235,0.638456
1.38,-1.164798,-4.270542,535.420801,3.423743,39.267135,-0.717551,-7.333883,0.639449
1.39,-1.191135,-4.257016,535.272244,3.419485,39.272478,-0.720015,-7.336917,0.638831
1.4,-1.207245,-4.239936,535.208461,3.407792,39.294627,-0.718179,-7.341929,0.636722
1.41,-1.211702,-4.223017,535.228094,3.390659,39.333791,-0.712376,-7.348977,0.633498
1.42,-1.206895,-4.212277,535.306503,3.370814,39.385925,-0.70379,-7.35764,0.629698
1.43,-1.197894,-4.213352,535.40767,3.351318,39.444147,-0.694237,-7.367124,0.625938
1.44,-1.191031,-4.228447,535.496866,3.335165,39.501055,-0.685732,-7.376524,0.622817
1.45,-1.192756,-4.25482,535.549002,3.324844,39.551137,-0.67998,-7.385157,0.620829
1.46,-1.208841,-4.285658,535.550947,3.321848,39.592353,-0.677946,-7.392827,0.620267
1.47,-1.243678,-4.312714,535.499437,3.326249,39.626292,-0.679649,-7.399876,0.621149
1.48,-1.299471,-4.329194,535.39791,3.336522,39.657036,-0.684251,-7.407021,0.623185
1.49,-1.375466,-4.331696,535.254804,3.349785,39.689466,-0.690411,-7.41506,0.62583
1.5,-1.467764,-4.320853,535.08373,3.362512,39.727752,-0.696783,-7.424586,0.628408
1.51,-1.570164,-4.300894,534.904374,3.371483,39.77449,-0.702449,-7.435813,0.630296
1.52,-1.675862,-4.278446,534.742342,3.374713,39.830541,-0.707102,-7.448548,0.631091
1.53,-1.77933,-4.260728,534.626154,3.372008,39.895383,-0.710917,-7.462295,0.630723
1.54,-1.877557,-4.253431,534.580404,3.364939,39.967677,-0.714247,-7.476458,0.629454
1.55,-1.970173,-4.258886,534.616452,3.356206,40.045733,-0.71726,-7.490554,0.627778
1.56,-2.058402,-4.275279,534.724996,3.348653,40.127685,-0.719741,-7.504359,0.626238
1.57,-2.143337,-4.297336,534.87579,3.344369,40.21137,-0.721182,-7.517889,0.625261
1.58,-2.224301,-4.318298,535.026559,3.344216,40.294139,-0.721185,-7.531241,0.625056
1.59,-2.298021,-4.33248,535.137464,3.3478,40.372953,-0.719896,-7.544408,0.625596
1.6,-2.359054,-4.337245,535.184305,3.353759,40.444903,-0.718175,-7.557191,0.626655
1.61,-2.401379,-4.33339,535.165265,3.360197,40.508023,-0.717308,-7.569255,0.62788
1.62,-2.420589,-4.323806,535.099778,3.365186,40.561978,-0.718407,-7.580264,0.628889
1.63,-2.415839,-4.311515,535.020657,3.367226,40.608186,-0.721831,-7.590022,0.629364
1.64,-2.390776,-4.298516,534.961826,3.365534,40.649178,-0.726959,-7.598519,0.629117
1.65,-2.35292,-4.286006,534.945395,3.360132,40.687318,-0.732466,-7.605882,0.628126
1.66,-2.311452,-4.275245,534.973163,3.351779,40.723491,-0.736933,-7.612249,0.626532
1.67,-2.274056,-4.267885,535.026687,3.341838,40.756452,-0.739459,-7.617648,0.624611
1.68,-2.244177,-4.265313,535.076296,3.332047,40.783315,-0.740011,-7.621963,0.622724
1.69,-2.220125,-4.267592,535.094687,3.324165,40.800949,-0.739354,-7.624996,0.621229
1.7,-2.196549,-4.272879,535.068162,3.319572,40.807533,-0.738639,-7.626605,0.620402
1.71,-2.167455,-4.277767,535.000262,3.319014,40.803433,-0.738856,-7.626806,0.620376
1.72,-2.129085,-4.278464,534.907501,3.322625,40.79109,-0.740428,-7.625821,0.621159
1.73,-2.081407,-4.272334,534.811077,3.330155,40.774113,-0.743118,-7.624022,0.622679
1.74,-2.027972,-4.259172,534.729043,3.341183,40.756052,-0.746232,-7.621814,0.624837
1.75,-1.974684,-4.241476,534.67129,3.355157,40.739257,-0.748971,-7.619496,0.627518
1.76,-1.928175,-4.223427,534.637744,3.371255,40.724209,-0.750719,-7.617159,0.630568
1.77,-1.894193,-4.20903,534.619436,3.388286,40.709599,-0.751153,-7.614687,0.633775
1.78,-1.876144,-4.200465,534.602202,3.404865,40.693137,-0.750184,-7.611854,0.636897
1.79,-1.873936,-4.197472,534.572596,3.419876,40.672746,-0.747849,-7.608461,0.63974
1.8,-1.883623,-4.197892,534.524492,3.432983,40.647534,-0.744277,-7.604429,0.64225
1.81,-1.898364,-4.198855,534.463667,3.444845,40.618109,-0.739765,-7.599789,0.644542
1.82,-1.910681,-4.19805,534.408112,3.456883,40.586183,-0.734854,-7.594605,0.646862
1.83,-1.915013,-4.194668,534.383778,3.470589,40.553869,-0.73027,-7.588903,0.649456
1.84,-1.909209,-4.189763,534.417188,3.486646,40.523169,-0.726656,-7.582684,0.65242
1.85,-1.894301,-4.185919,534.526909,3.504293,40.495781,-0.724227,-7.576004,0.655588
1.86,-1.873108,-4.18625,534.716316,3.52143,40.473046,-0.722577,-7.569069,0.65856
1.87,-1.848841,-4.192925,534.970217,3.535523,40.455729,-0.720834,-7.562239,0.660882
1.88,-1.824595,-4.205703,535.2568,3.544856,40.443622,-0.718122,-7.555929,0.662272
1.89,-1.803677,-4.221236,535.534065,3.549423,40.435217,-0.714031,-7.550447,0.662782
1.9,-1.789956,-4.233828,535.758358,3.551042,40.427775,-0.708844,-7.545897,0.662807
1.91,-1.787239,-4.237554,535.892827,3.552675,40.417845,-0.703415,-7.542151,0.662945
1.92,-1.797469,-4.22881,535.914193,3.557249,40.402044,-0.698833,-7.538902,0.663772
1.93,-1.818663,-4.208,535.816148,3.566433,40.377736,-0.696055,-7.535745,0.665608
1.94,-1.844069,-4.179488,535.608474,3.579834,40.343484,-0.695621,-7.532271,0.668368
1.95,-1.863389,-4.14972,535.313155,3.594964,40.29925,-0.697494,-7.528164,0.671563
1.96,-1.865771,-4.124249,534.960643,3.608106,40.246446,-0.701038,-7.523254,0.674462
1.97,-1.843456,-4.105064,534.588408,3.61581,40.187837,-0.70514,-7.517529,0.676373
1.98,-1.794863,-4.089759,534.240621,3.616379,40.127293,-0.708474,-7.51109,0.67692
1.99,-1.726064,-4.073199,533.965361,3.610632,40.069332,-0.709838,-7.504107,0.676192
2,-1.649819,-4.050903,533.807213,3.601625,40.018428,-0.708479,-7.496794,0.674705
2.01,-1.581932,-4.022275,533.797011,3.593539,39.978132,-0.704277,-7.489388,0.673203
2.02,-1.535907,-3.991939,533.942871,3.590287,39.950226,-0.697702,-7.482116,0.67241
2.03,-1.518013,-3.968445,534.225778,3.594398,39.934233,-0.689622,-7.47516,0.672824
2.04,-1.525069,-3.960845,534.601064,3.606459,39.927513,-0.681108,-7.468656,0.674607
2.05,-1.546047,-3.974616,535.005857,3.625155,39.925926,-0.673307,-7.462708,0.677592
2.06,-1.566712,-4.008726,535.37161,3.647793,39.924836,-0.667301,-7.457406,0.681357
2.07,-1.575081,-4.055156,535.639689,3.671147,39.920093,-0.66386,-7.452788,0.685376
2.08,-1.56528,-4.101201,535.7765,3.692423,39.908741,-0.663165,-7.448767,0.689172
2.09,-1.538364,-4.13375,535.782666,3.710028,39.889268,-0.66473,-7.445046,0.69245
2.1,-1.500254,-4.143919,535.690617,3.723813,39.861478,-0.667585,-7.441138,0.695142
2.11,-1.458287,-4.13017,535.549808,3.73469,39.826179,-0.670654,-7.436503,0.697356
2.12,-1.418172,-4.098619,535.406653,3.743855,39.78487,-0.673123,-7.430776,0.699254
2.13,-1.382473,-4.060486,535.28977,3.752111,39.739474,-0.674696,-7.423918,0.700949
2.14,-1.350584,-4.027937,535.207003,3.759679,39.692088,-0.675669,-7.416212,0.702472
2.15,-1.319526,-4.010103,535.153,3.766431,39.64474,-0.676784,-7.408113,0.703805
2.16,-1.284916,-4.010683,535.120829,3.772206,39.599218,-0.678868,-7.400052,0.704926
2.17,-1.242037,-4.027695,535.110141,3.776963,39.557046,-0.682368,-7.392318,0.705829
2.18,-1.187366,-4.054952,535.127303,3.780826,39.519472,-0.687023,-7.38506,0.706528
2.19,-1.12066,-4.084345,535.178151,3.784158,39.487293,-0.691922,-7.378346,0.707084
2.2,-1.046823,-4.108108,535.258763,3.787696,39.460514,-0.695975,-7.372231,0.707638
2.21,-0.976097,-4.120606,535.351011,3.792486,39.43818,-0.698551,-7.366789,0.708411
2.22,-0.921685,-4.119355,535.426472,3.799439,39.418748,-0.699884,-7.362122,0.70961
2.23,-0.895442,-4.1051,535.456739,3.808639,39.400931,-0.700969,-7.358378,0.711288
2.24,-0.903581,-4.081076,535.424357,3.818836,39.384487,-0.702994,-7.355752,0.713235
2.25,-0.944338,-4.051891,535.329116,3.827637,39.370437,-0.706642,-7.354436,0.715006
2.26,-1.00857,-4.022423,535.188146,3.832431,39.360583,-0.711717,-7.354532,0.71609
2.27,-1.082973,-3.996906,535.03141,3.831636,39.356663,-0.717329,-7.355954,0.716152
2.28,-1.154672,-3.978316,534.894679,3.825572,39.359634,-0.722489,-7.35839,0.715201
2.29,-1.215453,-3.968158,534.811402,3.816402,39.369373,-0.726683,-7.361356,0.713598
2.3,-1.264005,-3.966613,534.804952,3.807159,39.384861,-0.730066,-7.364341,0.711878
2.31,-1.305221,-3.972849,534.88315,3.800417,39.404634,-0.733201,-7.366961,0.710513
2.32,-1.346818,-3.985227,535.036542,3.797398,39.42723,-0.736573,-7.369072,0.709746
2.33,-1.394814,-4.001359,535.240753,3.797979,39.451421,-0.740249,-7.37078,0.709583
2.34,-1.449951,-4.018208,535.462051,3.80139,39.476117,-0.743891,-7.372346,0.709927
2.35,-1.506611,-4.032517,535.664399,3.806971,39.50002,-0.747049,-7.374024,0.710701
2.36,-1.55453,-4.041727,535.816082,3.814427,39.52128,-0.749453,-7.375904,0.711891
2.37,-1.58237,-4.045016,535.894439,3.82355,39.537401,-0.751055,-7.377834,0.713489
2.38,-1.581589,-4.043784,535.888302,3.83375,39.545578,-0.751879,-7.379444,0.715401
2.39,-1.549381,-4.041096,535.798979,3.84373,39.543421,-0.751871,-7.380272,0.717383
2.4,-1.490111,-4.040295,535.640697,3.85148,39.529824,-0.75092,-7.379914,0.719042
2.41,-1.414974,-4.043515,535.439833,3.854674,39.5056,-0.749067,-7.378159,0.719908
2.42,-1.339555,-4.050894,535.231128,3.851433,39.473546,-0.746725,-7.375047,0.719583
2.43,-1.279429,-4.060806,535.050247,3.841148,39.437785,-0.744674,-7.370856,0.717904
2.44,-1.245169,-4.070909,534.924962,3.824863,39.402579,-0.743769,-7.366001,0.715028
2.45,-1.238883,-4.079378,534.869011,3.804967,39.371054,-0.744462,-7.360878,0.711383
2.46,-1.253903,-4.085519,534.881162,3.784381,39.344397,-0.746429,-7.355727,0.707518
2.47,-1.277678,-4.08942,534.948507,3.765757,39.321837,-0.748563,-7.350584,0.703948
2.48,-1.296607,-4.091068,535.051076,3.751062,39.301327,-0.749413,-7.345341,0.701066
2.49,-1.300793,-4.08989,535.165832,3.741533,39.28057,-0.747867,-7.339888,0.699135
2.5,-1.28671,-4.085214,535.270309,3.737748,39.257956,-0.743678,-7.33423,0.698292
2.51,-1.256748,-4.077241,535.346927,3.739634,39.233069,-0.737517,-7.328532,0.698544
2.52,-1.216259,-4.067677,535.387434,3.746474,39.206634,-0.730567,-7.32304,0.699769
2.53,-1.170141,-4.059522,535.394978,3.75705,39.179979,-0.723968,-7.317958,0.701734
2.54,-1.121043,-4.056152,535.381747,3.769909,39.154307,-0.718447,-7.313344,0.704153
2.55,-1.069951,-4.060149,535.362946,3.783577,39.130065,-0.714267,-7.309072,0.706731
2.56,-1.018311,-4.072303,535.350208,3.796612,39.106646,-0.711386,-7.304872,0.709183
2.57,-0.969979,-4.091172,535.347487,3.807546,39.082596,-0.70961,-7.300416,0.711229
2.58,-0.931509,-4.113511,535.350887,3.814925,39.056341,-0.708636,-7.295466,0.712603
2.59,-0.910209,-4.135494,535.352192,3.817497,39.027222,-0.708031,-7.290009,0.713081
2.6,-0.910667,-4.154094,535.344539,3.814502,38.996334,-0.707312,-7.284343,0.712532
2.61,-0.931485,-4.167809,535.328027,3.8059,38.966658,-0.706151,-7.279024,0.710947
2.62,-0.964146,-4.176416,535.312932,3.792485,38.942277,-0.704604,-7.274675,0.708461
2.63,-0.995085,-4.180184,535.318364,3.775803,38.926924,-0.703177,-7.271733,0.705338
2.64,-1.010486,-4.17938,535.36534,3.757848,38.922494,-0.702636,-7.270268,0.701922
2.65,-1.001786,-4.17447,535.466088,3.740583,38.928172,-0.703686,-7.26996,0.698566
2.66,-0.96922,-4.166598,535.61463,3.725476,38.940549,-0.706679,-7.270255,0.695552
2.67,-0.921664,-4.157487,535.783835,3.713298,38.954639,-0.711532,-7.270589,0.693059
2.68,-0.872999,-4.148612,535.930527,3.704237,38.965376,-0.7178,-7.270602,0.691179
2.69,-0.837037,-4.140346,536.006301,3.69817,38.969039,-0.724817,-7.270258,0.689949
2.7,-0.82348,-4.131811,535.970255,3.694861,38.964196,-0.731795,-7.269843,0.689378
2.71,-0.836318,-4.12143,535.800199,3.693928,38.952028,-0.737878,-7.269879,0.689423
2.72,-0.874494,-4.10772,535.49975,3.694663,38.936045,-0.742182,-7.270973,0.689947
2.73,-0.933566,-4.09002,535.099841,3.695939,38.921266,-0.743865,-7.273646,0.690701
2.74,-1.007212,-4.069116,534.65443,3.696408,38.913057,-0.74225,-7.27817,0.691364
2.75,-1.088161,-4.0475,534.231296,3.695003,38.915958,-0.73702,-7.284477,0.691649
2.76,-1.168883,-4.028981,533.899768,3.691508,38.932845,-0.728442,-7.292164,0.691423
2.77,-1.242544,-4.017674,533.717597,3.686792,38.964592,-0.717488,-7.300601,0.690776
2.78,-1.304318,-4.016873,533.718911,3.682523,39.010178,-0.705698,-7.309124,0.689974
2.79,-1.352463,-4.028291,533.905163,3.680471,39.06706,-0.694759,-7.317228,0.689349
2.8,-1.388328,-4.05182,534.241748,3.681676,39.131585,-0.685964,-7.324696,0.689141
2.81,-1.415049,-4.085624,534.662987,3.685845,39.199354,-0.679805,-7.3316,0.689377
2.82,-1.435759,-4.126367,535.086224,3.691362,39.265644,-0.675878,-7.33819,0.689863
2.83,-1.452425,-4.169495,535.432079,3.696113,39.325993,-0.673129,-7.344721,0.690305
2.84,-1.465817,-4.209689,535.644518,3.698734,39.376879,-0.670355,-7.351308,0.69052
2.85,-1.476174,-4.241625,535.703798,3.699504,39.416184,-0.666744,-7.357832,0.690588
2.86,-1.483859,-4.261064,535.62807,3.700248,39.443252,-0.662257,-7.363926,0.690824
2.87,-1.489557,-4.266025,535.463737,3.703297,39.458573,-0.657689,-7.369047,0.691606
2.88,-1.494003,-4.257526,535.268535,3.710127,39.463303,-0.654347,-7.372618,0.693134
2.89,-1.497413,-4.239392,535.09362,3.720424,39.45888,-0.653462,-7.374201,0.695285
