Title,Date
"Jornada nas Estrelas: A nova geração: Temporada 7: Herança","27/01/2020"
"Grandes Momentos da Segunda Guerra em Cores: Temporada 1: Guerra-relâmpago","27/01/2020"
"Jornada nas Estrelas: A nova geração: Temporada 3: Pecados Paternos","24/01/2020"
"Jornada nas Estrelas: A nova geração: Temporada 3: Descendência","24/01/2020"
"Jornada nas Estrelas: A nova geração: Temporada 4: O Diário de Data","22/01/2020"
"Jornada nas Estrelas: A nova geração: Temporada 2: A Herdeira","22/01/2020"
"Raça","22/01/2020"
"Jornada nas Estrelas: A nova geração: Temporada 7: Rumando para Casa","13/01/2020"
"Jornada nas Estrelas: A nova geração: Temporada 7: Pégasus","13/01/2020"
"Star Trek: Discovery: Temporada 2: Irmão","12/01/2020"
"Drácula: Temporada 1: As regras das trevas","07/01/2020"
"Drácula: Temporada 1: Sangue a bordo","07/01/2020"
"Midnight Diner: Tokyo Stories: Temporada 2: Siri e Toshikoshi soba","05/01/2020"
"Midnight Diner: Tokyo Stories: Temporada 2: Cachorro-quente de yakisoba","29/12/2019"
"Perdidos no Espaço: Temporada 2: Isolados","29/12/2019"
"O Irlandês","29/12/2019"
"O Código Bill Gates: Minissérie: Parte 2","28/12/2019"
"Cegos, Surdos e Loucos","25/12/2019"
"Dois Papas","22/12/2019"
"Midnight Diner: Tokyo Stories: Temporada 2: Arroz frito com frango","22/12/2019"
"The Crown: Temporada 3: Cri de coeur","20/12/2019"
"The Crown: Temporada 3: Imbróglio","14/12/2019"
"The Crown: Temporada 3: Na corda bamba","13/12/2019"
"The Crown: Temporada 3: Poeira lunar","08/12/2019"
"The Crown: Temporada 3: Tywysog Cymru","08/12/2019"
"The Crown: Temporada 3: Golpe","08/12/2019"
"The Crown: Temporada 3: Bubbikins","08/12/2019"
"The Crown: Temporada 3: Aberfan","07/12/2019"
"The Crown: Temporada 3: Margaretologia","03/12/2019"
"The Crown: Temporada 3: Olding","30/11/2019"
"Brinquedos que Marcam Época: Temporada 3: Tartarugas Ninja","25/11/2019"
"Minecraft: Story Mode: Temporada 1: A Ordem da Pedra","23/11/2019"
"Um Homem de Sorte","15/11/2019"
"Jornada nas Estrelas: A nova geração: Temporada 5: Alferes Ro","08/11/2019"
"Jornada nas Estrelas: A nova geração: Temporada 5: Darmok","08/11/2019"
"Star Trek: Voyager: Temporada 4: A dádiva","06/11/2019"
"Star Trek: Voyager: Temporada 4: Escorpião: Parte 2","06/11/2019"
"Star Trek: Voyager: Temporada 3: Escorpião: Parte 1","05/11/2019"
"Star Trek: Enterprise: Temporada 2: Primeiro voo","06/10/2019"
"Star Trek: Enterprise: Temporada 1: Broken Bow","06/10/2019"
"Stranger Things: Stranger Things 3: Capítulo oito: A batalha de Starcourt","24/08/2019"
"Stranger Things: Stranger Things 3: Capítulo sete: A mordida","22/08/2019"
"Jornada nas Estrelas: A nova geração: Temporada 6: A Queda, Parte I","21/08/2019"
"Stranger Things: Stranger Things 3: Capítulo seis: E pluribus unum","21/08/2019"
"Jornada nas Estrelas: A nova geração: Temporada 6: Demência","20/08/2019"
"Stranger Things: Stranger Things 3: Capítulo cinco: Os devorados","20/08/2019"
"Jornada nas Estrelas: A nova geração: Temporada 5: Eu, Borg","25/07/2019"
"Jornada nas Estrelas: A nova geração: Temporada 4: Família","23/07/2019"
"Jornada nas Estrelas: A nova geração: Temporada 4: O Melhor de Dois Mundos, Parte II","23/07/2019"
"Jornada nas Estrelas: A nova geração: Temporada 3: O Melhor de Dois Mundos, Parte I","22/07/2019"
"Stranger Things: Stranger Things 3: Capítulo dois: O caso dos ratos","22/07/2019"
"Jornada nas Estrelas: A nova geração: Temporada 7: Ligações","21/07/2019"
"Stranger Things: Stranger Things 3: Capítulo um: Está me ouvindo, Suzie?","15/07/2019"
"Star Trek: Voyager: Temporada 6: Virtuoso","14/07/2019"
"Star Trek: Voyager: Temporada 6: Num piscar de olhos","14/07/2019"
"Lemony Snicket: Desventuras em Série: Temporada 3: A Gruta Gorgônea: Volume 2","14/07/2019"
"Lemony Snicket: Desventuras em Série: Temporada 1: Mau Começo: Volume 1","14/07/2019"
"Aggretsuko: Temporada 2: Vida maravilhosa","14/07/2019"
"Aggretsuko: Temporada 2: Ela sonha","14/07/2019"
"Aggretsuko: Temporada 2: Ele mora acima das nuvens","14/07/2019"
"Aggretsuko: Temporada 2: Afeição cada vez maior","14/07/2019"
"Star Trek: Discovery: Temporada 1: Lete","11/07/2019"
"Star Trek: Discovery: Temporada 1: Escolha sua dor","11/07/2019"
"Aggretsuko: Temporada 2: Futuro desconhecido","10/07/2019"
"Aggretsuko: Temporada 2: Pela união","10/07/2019"
"Aggretsuko: Temporada 2: Impacto inevitável","10/07/2019"
"Aggretsuko: Temporada 2: Atraso duplo","09/07/2019"
"Aggretsuko: Temporada 2: O novo contratado Anai","09/07/2019"
"Aggretsuko: Temporada 2: Hora de crescer","08/07/2019"
"Aggretsuko: Temporada 1: Uma garota esforçada","08/07/2019"
"O Abismo Mágico: Temporada 1: Episódio 16","08/07/2019"
"O Abismo Mágico: Temporada 1: Episódio 15","07/07/2019"
"Turma da Mônica - CineGibi: Turma da Mônica CineGibi: CineGibi 1 - No Escurinho do Cinema","07/07/2019"
"Especiais temáticos da turma da Mônica: Turma da Mônica - As doze badaladas dos sinos de Natal","07/07/2019"
"Mônica Toy: Temporada 1: Episódio 1","07/07/2019"
"O Abismo Mágico: Temporada 1: Episódio 14","06/07/2019"
"O Abismo Mágico: Temporada 1: Episódio 13","05/07/2019"
"O Abismo Mágico: Temporada 1: Episódio 12","01/07/2019"
"O Abismo Mágico: Temporada 1: Episódio 11","30/06/2019"
"Jornada nas Estrelas: A nova geração: Temporada 4: Meia Vida","30/06/2019"
"Jornada nas Estrelas: A nova geração: Temporada 4: Inquisição","30/06/2019"
"7SEEDS: Parte 1: A primavera começa","30/06/2019"
"Mistério no Mediterrâneo","29/06/2019"
"O Abismo Mágico: Temporada 1: Episódio 10","29/06/2019"
"O Abismo Mágico: Temporada 1: Episódio 9","28/06/2019"
"Star Trek: Discovery: Temporada 1: A faca do açougueiro não ouve o berro do cordeiro","25/06/2019"
"Star Trek – A Série Animada: Temporada 1: Era uma vez um planeta","25/06/2019"
"Jornada nas Estrelas: A nova geração: Temporada 6: Direito de Nascença, Parte I","22/06/2019"
"Jornada nas Estrelas: A nova geração: Temporada 6: Trama","22/06/2019"
"Guerras do Brasil.doc: A revolução de 1930","17/06/2019"
"Guerras do Brasil.doc: As Guerras da Conquista","17/06/2019"
"Jornada nas estrelas: Temporada 3: Todos os nossos ontens","16/06/2019"
"Star Trek: Discovery: Temporada 1: Contexto é para reis","16/06/2019"
"O Abismo Mágico: Temporada 1: Episódio 8","12/06/2019"
"Star Trek: Discovery: Temporada 1: Batalha das Estrelas Binárias","11/06/2019"
"Star Trek: Discovery: Temporada 1: O olá vulcano","11/06/2019"
"O Abismo Mágico: Temporada 1: Episódio 7","09/06/2019"
"O Abismo Mágico: Temporada 1: Episódio 6","08/06/2019"
"O Abismo Mágico: Temporada 1: Episódio 5","06/06/2019"
"Black Mirror: Temporada 5: Striking Vipers","06/06/2019"
"O Abismo Mágico: Temporada 1: Episódio 4","04/06/2019"
"O Abismo Mágico: Temporada 1: Episódio 3","04/06/2019"
"O Abismo Mágico: Temporada 1: Episódio 2","02/06/2019"
"O Abismo Mágico: Temporada 1: Episódio 1","02/06/2019"
"A Garota que conquistou o tempo","19/05/2019"
"Os caça-fantasmas","19/05/2019"
"Jornada nas estrelas: Temporada 1: Corte marcial","04/05/2019"
"Jornada nas estrelas: Temporada 2: Um lobo entre os cordeiros","01/05/2019"
"Star Trek: Discovery: Temporada 2: Se não me falha a memória","01/05/2019"
"Star Trek: Discovery: Temporada 2: Doce tristeza - Parte 2","28/04/2019"
"Você Radical: Temporada 1: Operação resgate na selva - parte 1","28/04/2019"
"The Umbrella Academy: Temporada 1: A gente só se encontra em casamentos e funerais","28/04/2019"
"The Umbrella Academy: Temporada 1: O violino branco","27/04/2019"
"The Umbrella Academy: Temporada 1: Mudanças","26/04/2019"
"Star Trek: Discovery: Temporada 2: Doce tristeza - Parte 1","26/04/2019"
"Star Trek: Discovery: Temporada 2: Pelo Vale das Sombras","25/04/2019"
"Jornada nas estrelas: Temporada 1: O ardil carbomite","25/04/2019"
"The Umbrella Academy: Temporada 1: Ouvi um boato","25/04/2019"
"The Umbrella Academy: Temporada 1: O dia que aconteceu","24/04/2019"
"Star Trek: Enterprise: Temporada 2: Futuro do presente","23/04/2019"
"The Umbrella Academy: Temporada 1: O dia que não aconteceu","23/04/2019"
"The Umbrella Academy: Temporada 1: Número Cinco","20/04/2019"
"Jornada nas Estrelas: A nova geração: Temporada 5: Time's Arrow: Parte 1","20/04/2019"
"Star Trek: Enterprise: Temporada 2: Onda de choque - parte 2","20/04/2019"
"The Umbrella Academy: Temporada 1: Sentado na Lua","19/04/2019"
"Star Trek: Enterprise: Temporada 2: Carbon Creek","19/04/2019"
"Jornada nas Estrelas: A nova geração: Temporada 2: Elementar, Meu Caro Data","19/04/2019"
"The Umbrella Academy: Temporada 1: Comum (só que não)","18/04/2019"
"The Umbrella Academy: Temporada 1: Corre, cara, corre","17/04/2019"
"Jornada nas Estrelas: A nova geração: Temporada 2: Q Quem?","11/04/2019"
"Jornada nas Estrelas: A nova geração: Temporada 5: O Primeiro Dever","07/04/2019"
"Jornada nas estrelas: Temporada 1: A coleção - Parte 1","06/04/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 16","04/04/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 15","03/04/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 14","02/04/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 12","31/03/2019"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: O visitante","31/03/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 11","31/03/2019"
"Star Trek: Discovery: Temporada 2: Infinito perpétuo","30/03/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 10","29/03/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 9","28/03/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 8","27/03/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 7","26/03/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 6","25/03/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 5","24/03/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 4","23/03/2019"
"Star Trek: Discovery: Temporada 2: O anjo vermelho","23/03/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 3","21/03/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 2","20/03/2019"
"Romance Is a Bonus Book: Temporada 1: Episódio 1","19/03/2019"
"Star Trek: Discovery: Temporada 2: Projeto Dédalo","15/03/2019"
"Aggretsuko: Feliz Natal Metaleiro","12/03/2019"
"Jornada nas estrelas: Temporada 1: Piloto: A jaula","09/03/2019"
"Star Trek: Discovery: Temporada 2: Luz e sombras","03/03/2019"
"Star Trek: Discovery: Temporada 2: O som do trovão","02/03/2019"
"Jornada nas estrelas: Temporada 1: A coleção - Parte 2","01/03/2019"
"O Fotógrafo de Mauthausen","24/02/2019"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: Indiscrição","24/02/2019"
"Jornada nas Estrelas: Deep Space Nine: Temporada 4: Juramento de Hipócrates","24/02/2019"
"Black Mirror: Bandersnatch","23/02/2019"
"Star Trek: Discovery: Temporada 2: Santos da imperfeição","22/02/2019"
"Jornada nas Estrelas II - A Ira de Khan","21/02/2019"
"Star Trek: Sem Fronteiras","20/02/2019"
"Star Trek: Enterprise: Temporada 4: Divergência","17/02/2019"
"Star Trek: Enterprise: Temporada 4: Praga","16/02/2019"
"Jornada nas Estrelas: A nova geração: Temporada 5: Luz Interior","10/02/2019"
"Jornada nas Estrelas: A nova geração: Temporada 7: A Queda Parte II","09/02/2019"
"Star Trek: Discovery: Temporada 2: Uma moeda para Caronte","09/02/2019"
"Star Trek: Enterprise: Temporada 2: Campo minado","09/02/2019"
"Jornada nas Estrelas: A nova geração: Temporada 6: Segunda Chance","07/02/2019"
"Jornada nas Estrelas: A nova geração: Temporada 6: Legítimo Herdeiro","07/02/2019"
"Star Trek: Discovery: Temporada 2: Ponto de luz","07/02/2019"
"Star Trek: Discovery: Temporada 2: Novo Éden","07/02/2019"
"Star Trek: Discovery: Temporada 1: O lobo interior","31/01/2019"
"Star Trek: Discovery: Temporada 1: Ambição desmedida","31/01/2019"
"Jornada nas estrelas: Temporada 2: Uma guerra particular","24/01/2019"
"Jornada nas Estrelas: A nova geração: Temporada 3: O Preço","22/01/2019"
"Jornada nas Estrelas: Deep Space Nine: Temporada 6: Inquisição","16/01/2019"
"Star Trek: Discovery: Temporada 1: Segure a minha mão?","12/01/2019"
"Titãs: Temporada 1: Titãs","12/01/2019"
"Os 3 Lá Embaixo: Contos da Arcadia: Parte 1: Terra desconhecida - Parte 2","05/01/2019"
"Os 3 Lá Embaixo: Contos da Arcadia: Parte 1: Terra desconhecida - Parte 1","05/01/2019"
"Jornada nas estrelas: Temporada 2: Eu, Mudd","04/01/2019"
"Cavalo de Guerra","26/12/2018"
"Jornada nas Estrelas: A nova geração: Temporada 2: Correspondentes","16/12/2018"
"Silicon Cowboys","09/12/2018"
"Jornada nas estrelas: Primeiro contato","09/12/2018"
"Mogli - Entre Dois Mundos","09/12/2018"
"Steve Jobs: The Lost Interview","08/12/2018"
"Star Trek: Discovery: Temporada 1: A guerra por fora, a guerra por dentro","06/12/2018"
"Star Trek: Discovery: Temporada 1: O passado é um prólogo","05/12/2018"
"Star Trek: Discovery: Temporada 1: Apesar de você","04/12/2018"
"Jornada nas estrelas: Temporada 2: A caminho de Babel","02/12/2018"
"Hitler's Circle of Evil: Temporada 1: Colapso","02/12/2018"
"Hitler's Circle of Evil: Temporada 1: O começo do fim","01/12/2018"
"Hitler's Circle of Evil: Temporada 1: A ascensão dos bajuladores","01/12/2018"
"1983: Temporada 1: Envolvimento","01/12/2018"
"Hitler's Circle of Evil: Temporada 1: Ascensão e queda de Reinhard Heydrich","01/12/2018"
"Hitler's Circle of Evil: Temporada 1: A loucura de Rudolf Hess","01/12/2018"
"Hitler's Circle of Evil: Temporada 1: O grupo de Berghof","01/12/2018"
"Hitler's Circle of Evil: Temporada 1: O avanço do antissemitismo","01/12/2018"
"Hitler's Circle of Evil: Temporada 1: A queda de Röhm","28/11/2018"
"Hitler's Circle of Evil: Temporada 1: Reagrupando","23/11/2018"
"Hitler's Circle of Evil: Temporada 1: Heróis e desajustados","21/11/2018"
"Next Gen","21/11/2018"
"Batman Ninja","21/11/2018"
"Star Trek: Discovery: Temporada 1: Para a floresta eu vou","18/11/2018"
"Jornada nas Estrelas: A nova geração: Temporada 4: Futuro Imperfeito","17/11/2018"
"House of Cards: Temporada 6: Capítulo 73","15/11/2018"
"Corpo Fechado","15/11/2018"
"House of Cards: Temporada 6: Capítulo 72","11/11/2018"
"The Good Place: Temporada 1: Tudo está bem","10/11/2018"
"House of Cards: Temporada 6: Capítulo 71","10/11/2018"
"House of Cards: Temporada 6: Capítulo 70","10/11/2018"
"House of Cards: Temporada 6: Capítulo 69","09/11/2018"
"House of Cards: Temporada 6: Capítulo 68","09/11/2018"
"House of Cards: Temporada 6: Capítulo 67","06/11/2018"
"House of Cards: Temporada 6: Capítulo 66","04/11/2018"
"Conspiração e Poder","03/11/2018"
"Marte: Temporada 1: Com os pés no chão","29/09/2018"
"Marte: Temporada 1: Um novo lar","29/09/2018"
"Kiss Me First: Temporada 1: Alguma coisa ela fez","06/08/2018"
"Final Space: Temporada 1: Capítulo 1","06/08/2018"
"O Mecanismo: Temporada 1: Lava Jato","05/08/2018"
"O experimento de Milgram","05/08/2018"
"Perdidos no Espaço: Temporada 1: Perigo, Will Robinson!","22/07/2018"
"Perdidos no Espaço: Temporada 1: Ressurreição","22/07/2018"
"Perdidos no Espaço: Temporada 1: Trajetória","21/07/2018"
"Perdidos no Espaço: Temporada 1: Pressurizado","21/07/2018"
"Perdidos no Espaço: Temporada 1: Homenagem póstuma","16/07/2018"
"Perdidos no Espaço: Temporada 1: Transmissão","09/07/2018"
"Perdidos no Espaço: Temporada 1: Os Robinsons estiveram aqui","09/07/2018"
"Perdidos no Espaço: Temporada 1: Infestação","04/07/2018"
"Perdidos no Espaço: Temporada 1: Diamantes no céu","01/07/2018"
"Perdidos no Espaço: Temporada 1: Impacto","30/06/2018"
"A Casa de Pequenos Cubinhos","20/06/2018"
"Uma Mulher Espetacular: Temporada 1: Episódio 5","17/06/2018"
"Enfeitiçado","17/06/2018"
"Jornada nas estrelas: Temporada 3: O piscar de um olho","01/06/2018"
"Já não me sinto em casa nesse mundo","31/05/2018"
"Brinquedos que Marcam Época: Temporada 2: Jornada nas Estrelas","30/05/2018"
"Thi Mai","30/05/2018"
"A Segunda Guerra em Cores: World War II in Colour: Mediterrâneo e Norte da África","29/05/2018"
"Star Trek: Enterprise: Temporada 4: Estas são as viagens...","18/05/2018"
"Star Trek: Enterprise: Temporada 4: Terra Prime","17/05/2018"
"Star Trek: Enterprise: Temporada 4: Demônios","17/05/2018"
"A Segunda Guerra em Cores: World War II in Colour: Sol nascente desenfreado","13/05/2018"
"A Segunda Guerra em Cores: World War II in Colour: Hitler ataca o leste","13/05/2018"
"3%: Temporada 2: Capítulo 10: Sangue","12/05/2018"
"3%: Temporada 2: Capítulo 9: Colar","12/05/2018"
"3%: Temporada 2: Capítulo 08: Sapos","12/05/2018"
"A Segunda Guerra em Cores: World War II in Colour: Grã-Bretanha contida","12/05/2018"
"A Segunda Guerra em Cores: World War II in Colour: Guerra-relâmpago","12/05/2018"
"A Segunda Guerra em Cores: World War II in Colour: A tempestade se avizinha","12/05/2018"
"3%: Temporada 2: Capítulo 07: Névoa","11/05/2018"
"3%: Temporada 2: Capítulo 06: Garrafas","10/05/2018"
"3%: Temporada 2: Capítulo 05: Lampião","08/05/2018"
"American Experience: Tesla","06/05/2018"
